20, 0.005085, 0.005506
40, 0.000132, 0.000163
80, 0.000270, 0.000363
160, 0.000516, 0.000757
320, 0.001098, 0.001662
640, 0.002300, 0.003791
1280, 0.005305, 0.008815
2560, 0.009492, 0.018126
5120, 0.020797, 0.037001
10240, 0.042365, 0.079822
20480, 0.084517, 0.169408
40960, 0.171817, 0.366513
81920, 0.351489, 0.945199
163840, 0.723589, 1.938438
